finalserialno,a01,a02,a03,region,recontact,agency,Constit_Code,Constit_Name,Interview_Date,total_num_dwel,total_num_hous,num_elig_people,edlevel,turnoutValidationReg
10115,nhs,Labour,Fairly interested,East Midlands,No,GfK,Ashfield,E14000535,06/09/2017,1,1,2,No qualifications,Voted
10119,brexit,None/No party,Fairly interested,East Midlands,No,GfK,Ashfield,E14000535,06/09/2017,1,1,1,Below GCSE,Voted
10125,society,Don`t know,Fairly interested,East Midlands,No,GfK,Ashfield,E14000535,06/09/2017,1,1,1,No qualifications,
10215,immigration,Don`t know,Fairly interested,East Midlands,No,GfK,Ashfield,E14000535,24/08/2017,1,1,2,No qualifications,Voted
10216,brexit,Labour,Fairly interested,East Midlands,No,GfK,Ashfield,E14000535,24/08/2017,1,1,2,Undergraduate,Voted
10217,getting brexit sorted,Don`t know,Fairly interested,East Midlands,No,GfK,Ashfield,E14000535,30/08/2017,1,1,2,Postgrad,Voted
10218,brexit,Conservatives,Fairly interested,East Midlands,No,GfK,Ashfield,E14000535,12/09/2017,1,1,2,No qualifications,Voted
10220,brexit,Don`t know,Fairly interested,East Midlands,No,GfK,Ashfield,E14000535,18/09/2017,1,1,2,No qualifications,Voted
10225,defence,Conservatives,Not very interested,East Midlands,No,GfK,Ashfield,E14000535,24/08/2017,1,1,2,No qualifications,Not voted-registered
10308,"imigration and the nhs, number of people putting pressure on resorses",Conservatives,Not very interested,East Midlands,Yes,Kantar,Bassetlaw,E14000546,18/07/2017,1,1,1,A-level,Not voted-registered
10317,"crime, lack of a visible police prense",None/No party,Fairly interested,East Midlands,No,Kantar,Bassetlaw,E14000546,26/07/2017,1,1,2,A-level,
10319,people learning to live together people of different religions living together,Labour,Very interested,East Midlands,No,Kantar,Bassetlaw,E14000546,17/07/2017,1,1,1,Undergraduate,
10320,saftey from terriosm and saftey in general on the streets,Labour,Fairly interested,East Midlands,No,Kantar,Bassetlaw,E14000546,13/08/2017,1,1,2,GCSE,Voted
10321,"brexit,stable leader issues.conflict between parties",Conservatives,Fairly interested,East Midlands,No,Kantar,Bassetlaw,E14000546,08/08/2017,1,1,2,Undergraduate,
10322,"immigrants, too many coming in.",Conservatives,Not at all interested,East Midlands,No,Kantar,Bassetlaw,E14000546,29/08/2017,1,1,1,No qualifications,
10323,terrorism to make sure we are doing right thing to protect ourselves,Labour,Fairly interested,East Midlands,No,Kantar,Bassetlaw,E14000546,17/07/2017,1,1,2,Below GCSE,Voted
10324,"brexit, immigration, value of pound,financial side of brexit",Don`t know,Not very interested,East Midlands,No,Kantar,Bassetlaw,E14000546,26/08/2017,1,1,1,GCSE,
10420,"homlessness, ex servicemen and women facilities",None/No party,Fairly interested,East Midlands,No,Kantar,Bassetlaw,E14000546,26/08/2017,1,1,1,A-level,
10423,"brexit issue, work in public sector so worried about uncertanty and effects",None/No party,Fairly interested,East Midlands,No,Kantar,Bassetlaw,E14000546,18/07/2017,1,1,2,Undergraduate,Voted
10521,"too many people and not enough resources and money, overpopulation",Conservatives,Fairly interested,East Midlands,No,Natcen,Bolsover,E14000577,11/08/2017,1,1,2,Undergraduate,
10522,"brexit, inflation and the strength of the pound and losing jobs",None/No party,Fairly interested,East Midlands,No,Natcen,Bolsover,E14000577,20/07/2017,1,1,1,Postgrad,
10607,"brexit negotiations and what deal we are going to get, the deal on the getting out of europe and if we come out of it",Conservatives,Fairly interested,East Midlands,Yes,Natcen,Bolsover,E14000577,21/07/2017,1,1,2,A-level,
10615,"cuts to services, such as county council who run social services and education, nationally also worries me with welfare budgets",Don`t know,Not very interested,East Midlands,No,Natcen,Bolsover,E14000577,20/07/2017,1,1,1,Undergraduate,
10616,"economy, high cost of living, low wages and no interest on your savings",None/No party,Not at all interested,East Midlands,No,Natcen,Bolsover,E14000577,02/08/2017,1,1,2,GCSE,
10620,"brexit, i feel we have voted the wrong way i dont think the country is strong enough on its own and i dont think there is a real plan",Labour,Fairly interested,East Midlands,No,Natcen,Bolsover,E14000577,11/08/2017,1,1,2,A-level,
10622,"overpopulation, not only in this country but of the whole world, it is the biggest problem in this country",None/No party,Fairly interested,East Midlands,No,Natcen,Bolsover,E14000577,21/07/2017,1,1,1,Below GCSE,
10623,brexit the uncertainty at the minute overwhelming sense of dread,Conservatives,Very interested,East Midlands,No,Natcen,Bolsover,E14000577,20/07/2017,1,1,3,Undergraduate,
10715,"Sense of disillusionment amongst the people with politics, politiians and how they manage the economy. No confience in politicans abaility to answer everyday concerns",None/No party,Fairly interested,East Midlands,No,Kantar,Broxtowe,E14000607,30/07/2017,1,1,1,Undergraduate,Voted
10721,Brexit. I'm not for spirit,Conservatives,Not very interested,East Midlands,No,Kantar,Broxtowe,E14000607,25/07/2017,1,1,1,Undergraduate,
10808,"Brexit, needs to be got on with",Conservatives,Fairly interested,East Midlands,Yes,Kantar,Broxtowe,E14000607,13/07/2017,1,1,2,Undergraduate,Voted
10817,There are a lot of diametically opposing views within the population,None/No party,Very interested,East Midlands,No,Kantar,Broxtowe,E14000607,13/07/2017,1,1,2,Undergraduate,
10821,"Immigrants, getting houses and money for nothing",None/No party,Not at all interested,East Midlands,No,Kantar,Broxtowe,E14000607,10/07/2017,1,1,2,No qualifications,Voted
10823,"Security, terrorism",None/No party,Fairly interested,East Midlands,No,Kantar,Broxtowe,E14000607,11/07/2017,1,1,1,Undergraduate,Voted
10916,funding and public funding in general,Conservatives,Fairly interested,East Midlands,No,GfK,Charnwood,E14000625,17/08/2017,1,1,2,Undergraduate,Voted
10917,level of spending in national health service and education - it is far too low and the government have no intention of solving it.,Labour,Very interested,East Midlands,No,GfK,Charnwood,E14000625,03/09/2017,1,1,1,Undergraduate,Not voted-unregistered
10918,new railway vanity project hs2,None/No party,Not very interested,East Midlands,No,GfK,Charnwood,E14000625,19/07/2017,1,1,2,Undergraduate,Not voted-unregistered
10920,brexit,Conservatives,Fairly interested,East Midlands,No,GfK,Charnwood,E14000625,21/08/2017,1,1,2,A-level,Voted
10923,immergrtaion,Conservatives,Very interested,East Midlands,No,GfK,Charnwood,E14000625,13/09/2017,1,1,1,No qualifications,Voted
10924,national health in genral it is in a mess,Conservatives,Not very interested,East Midlands,No,GfK,Charnwood,E14000625,18/08/2017,1,1,1,No qualifications,Voted
11005,World insecurity North Korea Donals Trump Isis Terroism,None/No party,Very interested,East Midlands,Yes,GfK,Charnwood,E14000625,21/08/2017,1,1,2,Undergraduate,
11009,Brexit I am totally against it,None/No party,Fairly interested,East Midlands,Yes,GfK,Charnwood,E14000625,21/08/2017,1,1,1,Undergraduate,
11015,lack of  direction,Conservatives,Very interested,East Midlands,No,GfK,Charnwood,E14000625,20/09/2017,1,1,2,Undergraduate,Voted
11016,"world itself in falling apart global warming, issue",None/No party,Fairly interested,East Midlands,No,GfK,Charnwood,E14000625,18/07/2017,1,1,2,No qualifications,Voted
11020,immigration the amount that aere coming espically illegal,Conservatives,Very interested,East Midlands,No,GfK,Charnwood,E14000625,02/09/2017,1,1,2,Undergraduate,Voted
11116,"extremistmi, racist",Labour,Fairly interested,East Midlands,No,GfK,Daventry,E14000660,05/07/2017,1,2,2,Undergraduate,Voted
11118,"BREXIT, WE  BOTH ARE FOREIGN, SO WE DO NOT KNOW WHAT IS GOING TO HAPPEN TO PEOPLE LIKE US.",Labour,Very interested,East Midlands,No,GfK,Daventry,E14000660,22/07/2017,1,2,2,Postgrad,Ineligible
11119,NOT SURE,Don`t know,Not very interested,East Midlands,No,GfK,Daventry,E14000660,18/07/2017,1,1,4,No qualifications,Not voted-registered
11121,"BREXIT, THE UNCERTAINTY BECAUSE HOW IT IS GOING TO BE SORTED OUT, HOW DOES IT AFFECT JOBS AND ECONOMY.",Don`t know,Not very interested,East Midlands,No,GfK,Daventry,E14000660,18/07/2017,1,1,3,Below GCSE,Voted
