voted,tory_vote,election_interest,civic_duty,party_id,ideo_lr,ideo_pc1,ideo_pc2,vote_leave,class,female,edlevel,region
1,0,1,1,Labour,3,-1.20465524573347,1.15807747206418,1,2,1,0,East Midlands
1,0,1,5,Labour,0,3.0779690441124505,1.32213815009847,0,2,0,1,East Midlands
0,0,2,2,Refused,5,-0.634762448641479,-4.67153168613257,1,2,0,0,East Midlands
1,0,1,4,Labour,6,3.68612216212107,1.20544889602562,1,2,1,0,East Midlands
1,0,1,4,Labour,2,0.139499041268557,1.4085077543824198,0,2,1,4,East Midlands
1,0,2,4,Don`t know,4,-2.8124765120563797,-0.118555901389164,0,1,1,5,East Midlands
1,1,1,5,Conservative,7,1.7377434246757701,-2.0786955277849097,0,2,1,0,East Midlands
1,0,1,5,United Kingdom Independence Party (UKIP),5,2.6502357876950096,-0.5837223492158411,1,1,0,0,East Midlands
0,0,1,2,Conservative,6,-0.616462842406465,-0.12452548863566301,0,1,0,0,East Midlands
0,0,2,2,Conservative,5,1.02220253337465,0.292142283829203,0,-1,1,3,East Midlands
1,1,3,2,Conservative,5,0.6207014183621109,-1.49262170737517,1,-1,0,3,East Midlands
0,0,3,3,Labour,5,-1.15517949368037,-1.43692543636973,0,2,0,4,East Midlands
1,0,2,3,Labour,4,0.119126710235017,0.684237466328617,0,2,1,2,East Midlands
1,1,1,4,Conservative,6,-0.729781003485976,-0.0865224765488623,1,-1,1,4,East Midlands
1,1,2,4,Conservative,10,2.19358295974045,-0.49814037215828,0,2,0,0,East Midlands
1,0,2,4,Labour,5,0.867462105196117,0.398596740340771,1,2,0,1,East Midlands
0,0,3,3,United Kingdom Independence Party (UKIP),10,-1.1683693120296699,0.9582837912667329,0,2,0,2,East Midlands
0,0,2,4,Conservative,5,0.216946778033937,-0.420164518372915,1,-1,1,3,East Midlands
1,0,1,3,Labour,0,-0.5199452552905011,0.7491619669507259,0,2,0,4,East Midlands
1,1,2,5,Liberal Democrat,5,2.1754206757844,-0.554934104014991,0,1,1,4,East Midlands
1,0,1,5,Labour,5,-0.49112624712780895,0.352967185976052,0,1,1,5,East Midlands
0,0,1,4,Labour,5,0.49271294333558396,0.283653443118242,1,2,0,3,East Midlands
1,0,2,4,Labour,4,-0.255451979410235,0.364763307644508,1,2,1,4,East Midlands
1,0,1,1,Labour,5,2.4595777676204302,2.41378328440176,1,1,1,2,East Midlands
1,0,1,5,Labour,2,-0.8429564105852879,3.0657899171293397,0,2,0,3,East Midlands
1,0,1,4,Labour,0,1.25331104379,1.5663426506278202,1,2,0,1,East Midlands
1,1,1,2,Conservative,7,-1.45407244561254,-2.07434601177475,0,2,0,4,East Midlands
1,0,2,2,Liberal Democrat,4,-0.0167876339741586,1.6773285204624702,0,1,0,4,East Midlands
0,0,4,2,Labour,4,1.53239080654871,1.25608396135872,0,1,0,4,East Midlands
1,1,1,4,Conservative,6,0.551632604368289,-0.38025466691504406,1,2,1,4,East Midlands
1,1,1,3,Conservative,7,-1.54000017853355,-2.6701341116634705,1,1,1,4,East Midlands
0,0,4,1,None / No party/ uncommitted,5,2.18988007787319,0.39177416745829796,0,2,0,0,East Midlands
1,0,3,3,Conservative,7,0.631100838361662,0.183384644460028,0,2,1,4,East Midlands
1,1,1,3,Conservative,5,-0.754445732707166,-1.3717423999416598,0,-1,0,4,East Midlands
1,0,1,5,Labour,2,-0.9605403259855341,2.98635694772929,0,2,1,4,East Midlands
1,1,3,5,Conservative,7,0.8030338252971579,0.034085870771936,0,1,1,4,East Midlands
1,1,2,5,Conservative,7,-0.9710483633986999,-0.37920995610257496,0,2,1,3,East Midlands
1,1,2,3,Conservative,5,-2.0190711173953,-0.65672885169944,1,2,0,0,East Midlands
1,1,2,5,Conservative,5,1.6618910584773001,0.8785155336220859,1,-1,1,0,East Midlands
1,0,2,5,Other,3,-1.64774463050941,0.6434873806526479,0,1,0,4,East Midlands
1,0,1,4,Don`t know,5,0.528495465959719,0.0740910650669173,0,1,1,4,East Midlands
1,1,1,5,Conservative,6,0.44076386014434704,-4.00455198403586,0,1,0,4,East Midlands
1,0,2,3,Labour,4,-0.9131733324109459,0.662052907654339,0,2,0,0,East Midlands
1,1,1,5,Conservative,9,0.582432803408558,-2.33710937774278,1,1,0,4,East Midlands
1,0,1,4,Labour,6,0.487892719842306,-0.6237748781907378,0,2,0,4,East Midlands
0,0,1,4,Labour,5,1.21213393230572,2.22542605524675,0,2,1,5,East Midlands
0,0,4,2,Labour,5,-2.38014482950435,-0.9041542351361379,0,2,0,0,East Midlands
1,1,3,4,None / No party/ uncommitted,6,-1.2403341019299798,-0.408104379710696,0,1,1,1,East Midlands
1,1,2,4,Conservative,5,1.68669308648269,-0.463670333798832,0,2,0,2,East Midlands
1,1,2,4,Conservative,5,0.26707473852540603,-0.27354984238541197,1,2,1,0,East Midlands
1,1,1,5,Conservative,5,0.716404206030115,-1.03372362367532,0,2,1,0,East Midlands
1,1,1,4,Conservative,7,1.16583843700545,-0.585574770383302,1,1,0,4,East Midlands
1,0,2,5,Labour,2,-1.52083750261058,0.6056590428415519,0,1,1,3,East Midlands
1,1,2,3,None / No party/ uncommitted,5,-1.9794613090815902,-0.17582850313013598,1,1,1,5,East Midlands
0,0,4,2,Labour,5,1.15514952647597,0.40330485663943605,0,2,0,2,East Midlands
0,0,2,3,Conservative,5,-2.63540346959683,-0.0662804504638899,0,2,0,2,East Midlands
1,1,3,4,Conservative,6,1.2365264233329298,-0.933162476028019,0,1,0,4,East Midlands
1,0,1,3,None / No party/ uncommitted,3,-2.13837332965872,-0.0466113629592826,0,2,1,5,East Midlands
0,0,4,3,Don`t know,5,1.8935800727502299,-0.354054261769249,0,-1,0,0,East Midlands
0,0,3,3,Labour,5,0.233218619165417,0.62353288962164,0,1,1,0,East Midlands
1,0,2,3,Labour,8,0.8180375387964142,-0.31306039168675004,0,1,0,2,East Midlands
1,0,2,3,Labour,5,-1.5410030229518,-0.17431781361526902,0,2,0,5,East Midlands
1,0,1,4,Labour,7,-0.128840231028748,-0.8686901335804,0,-1,0,2,East Midlands
1,1,1,4,Liberal Democrat,5,0.2029079785988,-1.4901060890642899,0,2,1,4,East Midlands
1,1,1,4,Conservative,5,0.46832020503412997,-1.13212373439472,1,2,1,0,East Midlands
1,0,2,4,Labour,5,1.25931117914391,1.62330372094519,0,1,0,5,East Midlands
1,1,1,4,Don`t know,5,0.872342291580507,0.0742657294713163,1,2,0,3,East Midlands
1,0,2,4,Labour,4,2.0618856585495,0.41363158048446996,1,2,0,4,East Midlands
1,0,3,3,Don`t know,5,2.3874121302285,1.6056604559097498,1,2,1,4,East Midlands
1,0,3,2,None / No party/ uncommitted,5,-0.7869011631471379,-1.1730648757854099,0,2,1,0,East Midlands
1,1,2,3,Conservative,10,1.8189198986256698,-1.68093372203222,1,2,1,0,East Midlands
1,0,2,3,Labour,2,-2.37898044730212,0.507568823971618,0,1,0,0,East Midlands
1,1,2,3,Conservative,5,2.0988056637461696,-2.02521432284581,1,1,1,2,East Midlands
1,1,2,4,Conservative,5,-1.1621767498817601,-0.226604514416776,1,2,1,0,East Midlands
1,0,1,1,Labour,3,-1.89273740570213,0.38239048358497607,0,1,0,5,East Midlands
1,0,2,1,Labour,1,0.616717259602691,0.5600248229053331,0,2,1,1,East Midlands
1,0,2,2,Conservative,6,-1.9743658623898401,0.753097551067515,1,1,0,4,East Midlands
1,0,1,5,Labour,2,-1.0276547511151801,3.27279175439293,0,2,0,2,East Midlands
1,0,2,5,Labour,6,-0.433990259640579,-1.24716689016793,1,2,1,4,East Midlands
1,1,1,5,Conservative,10,2.16670902753616,0.737872877001172,1,2,0,0,East Midlands
1,0,2,5,Labour,6,1.36727793306788,2.2028750688259398,1,2,1,4,East Midlands
1,1,2,5,Conservative,7,1.1908357856643899,-0.235532050946026,1,1,0,0,East Midlands
1,1,3,4,Conservative,10,0.8202363914101759,-1.3816823138318401,1,1,1,0,East Midlands
0,0,4,3,None / No party/ uncommitted,5,0.351220253023288,-0.9994105188837159,1,2,0,2,East Midlands
1,1,2,3,Conservative,5,2.49519841282883,-2.44127540037687,1,1,1,0,East Midlands
1,1,1,4,Conservative,4,-1.57173239816378,0.41593729886777503,1,1,0,4,East Midlands
1,0,1,5,Labour,2,-0.55423973552714,1.8014331717686498,0,2,0,3,East Midlands
1,1,2,5,Conservative,5,0.11098029832670402,-0.38411347579758004,0,2,1,0,East Midlands
1,1,1,4,Conservative,5,1.70990762859642,-0.0395916360735771,1,2,0,3,East Midlands
1,0,2,4,Labour,4,1.66146188850128,0.12070723315798,1,2,1,0,East Midlands
1,0,2,5,Conservative,5,0.6742699727884449,0.884866430216721,1,2,1,1,East Midlands
1,1,1,4,Conservative,8,1.12724471606248,-0.0729433248298625,1,2,1,0,East Midlands
0,0,4,4,None / No party/ uncommitted,5,1.06091340352825,0.0684896819036065,0,2,1,0,East Midlands
1,0,3,3,Labour,3,0.96250349214979,1.56896107100049,0,2,1,3,East Midlands
1,0,3,4,Labour,5,0.8734591319135658,1.02178947195061,1,2,0,2,East Midlands
1,0,2,3,Refused,5,0.514221496746632,-1.63079063283052,0,1,0,4,East Midlands
