finalserialno,region,Constit_Code,Constit_Name,Interview_Date,total_num_dwel,total_num_hous,num_elig_people,turnoutValidationReg,Age,a01,a02,a03,e01,k01,k02,k03,k11,k13,k06,k08,y01,y03,y06,y07,y08,y09,y11,y17,y18
10115,East Midlands,Ashfield,E14000535,06/09/2017,1,1,2,Voted,21.0,nhs,Labour,Fairly interested,3,8,No,,No,Yes,Yes,No,"GBP 5,200 - GBP 10,399",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
10119,East Midlands,Ashfield,E14000535,06/09/2017,1,1,1,Voted,53.0,brexit,None/No party,Fairly interested,0 Left,5,No,,Yes,Yes,No,No,"GBP 2,600 - GBP 5,199",Rented from local authority,Islam/Muslim,Never or practically never,No,Male,Indian,Looking after the family or home,Yes
10125,East Midlands,Ashfield,E14000535,06/09/2017,1,1,1,,56.0,society,Don`t know,Fairly interested,5,4,No,,No,Yes,No,No,"GBP 5,200 - GBP 10,399",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time - self-employed (30+ hours),
10215,East Midlands,Ashfield,E14000535,24/08/2017,1,1,2,Voted,65.0,immigration,Don`t know,Fairly interested,6,8,Yes,Mirror/Record,No,Yes,No,No,"GBP 36,400 - GBP 39,999",Own home outright,Christian - no denomination,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
10216,East Midlands,Ashfield,E14000535,24/08/2017,1,1,2,Voted,68.0,brexit,Labour,Fairly interested,2,9,Yes,Mail,No,Yes,Yes,Yes,"GBP 40,000 - GBP 44,999",Own home outright,Christian - no denomination,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
10217,East Midlands,Ashfield,E14000535,30/08/2017,1,1,2,Voted,34.0,getting brexit sorted,Don`t know,Fairly interested,4,6,Yes,Independent/The i,No,Yes,No,Yes,Don`t know,Own home on mortgage,Christian - no denomination,Less often but at least once a month,No,Female,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,Yes
10218,East Midlands,Ashfield,E14000535,12/09/2017,1,1,2,Voted,83.0,brexit,Conservatives,Fairly interested,7,8,No,,No,Yes,No,No,Don`t know,Own home outright,Christian - no denomination,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
10220,East Midlands,Ashfield,E14000535,18/09/2017,1,1,2,Voted,66.0,brexit,Don`t know,Fairly interested,5,10 Pay a great deal of attention,Yes,Sun,No,Yes,Yes,Yes,Don`t know,Own home outright,Christian - no denomination,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
10225,East Midlands,Ashfield,E14000535,24/08/2017,1,1,2,Not voted-registered,66.0,defence,Conservatives,Not very interested,6,4,Yes,Mail,No,No,No,Yes,"GBP 10,400 - GBP 15,599",Own home outright,Christian - no denomination,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Working part time - self-employed (8-29 hours),
10308,East Midlands,Bassetlaw,E14000546,18/07/2017,1,1,1,Not voted-registered,42.0,"imigration and the nhs, number of people putting pressure on resorses",Conservatives,Not very interested,Don`t know,1,No,,No,Yes,No,Yes,"GBP 50,000 - GBP 59,999",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
